min_num_obj,confidence_factor,root_mean_squared_error
2,0.05000000074505806,0.4841025570031896
3,0.05000000074505806,0.4742070755852982
4,0.05000000074505806,0.471241290090133
5,0.05000000074505806,0.4647472725163189
2,0.15000000596046448,0.5109290014834984
3,0.15000000596046448,0.5016155422065793
4,0.15000000596046448,0.496659585865587
5,0.15000000596046448,0.48460280271976475
2,0.25,0.5274039508697738
3,0.25,0.5106916074349522
4,0.25,0.5028321932084853
5,0.25,0.4941164003160342
2,0.3499999940395355,0.5328367999752408
3,0.3499999940395355,0.5169226961115783
4,0.3499999940395355,0.5081417412999032
5,0.3499999940395355,0.4992996714826238
2,0.44999998807907104,0.5332933431518087
3,0.44999998807907104,0.5184453863113909
4,0.44999998807907104,0.5098903319026917
5,0.44999998807907104,0.5012192702225483
