min_num_obj,confidence_factor,root_mean_squared_error
2,0.05000000074505806,0.0
3,0.05000000074505806,0.0
4,0.05000000074505806,0.0
5,0.05000000074505806,0.01089566270747729
2,0.05000000074505806,0.0
3,0.05000000074505806,0.02345453452673328
4,0.05000000074505806,0.02345453452673328
5,0.05000000074505806,0.02345453452673328
2,0.05000000074505806,0.0
3,0.05000000074505806,0.0
4,0.05000000074505806,0.0
5,0.05000000074505806,0.01089566270747729
2,0.05000000074505806,0.0
3,0.05000000074505806,0.02345453452673328
4,0.05000000074505806,0.02345453452673328
5,0.05000000074505806,0.02345453452673328
2,0.15000000596046448,0.0
3,0.15000000596046448,0.0
4,0.15000000596046448,0.0
5,0.15000000596046448,0.01089566270747729
2,0.15000000596046448,0.0
3,0.15000000596046448,0.02345453452673328
4,0.15000000596046448,0.02345453452673328
5,0.15000000596046448,0.02345453452673328
2,0.15000000596046448,0.0
3,0.15000000596046448,0.0
4,0.15000000596046448,0.0
5,0.15000000596046448,0.01089566270747729
2,0.15000000596046448,0.0
3,0.15000000596046448,0.02345453452673328
4,0.15000000596046448,0.02345453452673328
5,0.15000000596046448,0.02345453452673328
2,0.25,0.0
3,0.25,0.0
4,0.25,0.0
5,0.25,0.01089566270747729
2,0.25,0.0
3,0.25,0.02345453452673328
4,0.25,0.02345453452673328
5,0.25,0.02345453452673328
2,0.25,0.0
3,0.25,0.0
4,0.25,0.0
5,0.25,0.01089566270747729
2,0.25,0.0
3,0.25,0.02345453452673328
4,0.25,0.02345453452673328
5,0.25,0.02345453452673328
2,0.3499999940395355,0.0
3,0.3499999940395355,0.0
4,0.3499999940395355,0.0
5,0.3499999940395355,0.01089566270747729
2,0.3499999940395355,0.0
3,0.3499999940395355,0.02345453452673328
4,0.3499999940395355,0.02345453452673328
5,0.3499999940395355,0.02345453452673328
2,0.3499999940395355,0.0
3,0.3499999940395355,0.0
4,0.3499999940395355,0.0
5,0.3499999940395355,0.01089566270747729
2,0.3499999940395355,0.0
3,0.3499999940395355,0.02345453452673328
4,0.3499999940395355,0.02345453452673328
5,0.3499999940395355,0.02345453452673328
2,0.44999998807907104,0.0
3,0.44999998807907104,0.0
4,0.44999998807907104,0.0
5,0.44999998807907104,0.01089566270747729
2,0.44999998807907104,0.0
3,0.44999998807907104,0.02345453452673328
4,0.44999998807907104,0.02345453452673328
5,0.44999998807907104,0.02345453452673328
2,0.44999998807907104,0.0
3,0.44999998807907104,0.0
4,0.44999998807907104,0.0
5,0.44999998807907104,0.01089566270747729
2,0.44999998807907104,0.0
3,0.44999998807907104,0.02345453452673328
4,0.44999998807907104,0.02345453452673328
5,0.44999998807907104,0.02345453452673328
